ForAndrTyp	COAdress	Foretagsnamn	FtgStat	Gatuadress	JEStat	JurForm	Namn	Ng1	Ng2	Ng3	Ng4	Ng5	PeOrgNr	PostNr	PostOrt	RegDatKtid	Reklamsparrtyp	mCOAdress	mForetagsnamn	mFtgStat	mGatuadress	mJEStat	mJurForm	mNamn	mNg1	mNg2	mNg3	mNg4	mNg5	mPostNr	mPostOrt	mRegDatKtid	mReklamsparrtyp	
1	DEMO PERSON 2247		1	PRIVATE BANKING, STIFTELSER ST S 3	1	71	DEMO ENTITY 1589	64309					161020159453	10640	STOCKHOLM	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1	DEMO PERSON 6932		0	TRANHOLMSVÄGEN 6	1	71	DEMO ENTITY 1769	94990					161020159503	17832	EKERÖ	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1	DEMO PERSON 3365		0	STRANDVÄGEN 35	1	71	DEMO ENTITY 0922	94910					161020159511	18260	DJURSHOLM	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1	DEMO PERSON 0235		0	TRANHOLMSVÄGEN 6	1	71	DEMO ENTITY 5990	64993					161020159529	17832	EKERÖ	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1	DEMO PERSON 2563		0	RINGLEKSVÄGEN 13	1	71	DEMO ENTITY 3134	64993					161020159537	13251	SALTSJÖ-BOO	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1	DEMO PERSON 8628		1	BLASIEHOLMSTORG 12	1	71	DEMO ENTITY 8806	64993					161020159586	10670	STOCKHOLM	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1			9	BOX 2022	1	71	DEMO ENTITY 0959	64993					161020159602	10311	STOCKHOLM	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1			1	RYDBOHOLMS GÅRD 1	1	72	DEMO ENTITY 3991	64309					161020159636	18494	ÅKERSBERGA	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1	DEMO PERSON 8777		0	ÄPPELVIKSVÄGEN 2 A	1	71	DEMO ENTITY 5678	64309					161020159693	16753	BROMMA	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1			9	BOX 2022	1	71	DEMO ENTITY 9585	64993					161020159701	10311	STOCKHOLM	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1	DEMO PERSON 6193		0	TYKÖVÄGEN 4 C	1	71	DEMO ENTITY 2808	64993					161020159719	18161	LIDINGÖ	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1	DEMO PERSON 3996		0	BOX 7785	1	71	DEMO ENTITY 9450	64993					161020159727	10396	STOCKHOLM	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1			9	BOX 2022	1	71	DEMO ENTITY 9237	64993					161020159750	10311	STOCKHOLM	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1	DEMO PERSON 9819		0	ESSINGERINGEN 24	1	71	DEMO ENTITY 4529	68201					161020159776	11264	STOCKHOLM	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1	DEMO PERSON 4534		1	KUNGSTENSGATAN 38	1	71	DEMO ENTITY 2361	64993					161020159784	11359	STOCKHOLM	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1	DEMO PERSON 0293		1		1	71	DEMO ENTITY 5210	64993					161020159818	10640	STOCKHOLM	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1			9	BOX 2022	1	71	DEMO ENTITY 6829	64993					161020159859	10311	STOCKHOLM	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1			1	SEB SÄRSKILD FÖRVALTNING KG 1	1	71	DEMO ENTITY 3048	64993					161020159883	10640	STOCKHOLM	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1			9	BOX 2022	1	71	DEMO ENTITY 7280	64993					161020159925	10311	STOCKHOLM	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1	DEMO PERSON 4530		0	GYLLENSTIERNSGATAN 19  LGH 1302	1	71	DEMO ENTITY 2593	00000					161020159990	11526	STOCKHOLM	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1	DEMO PERSON 5364		0		1	71	DEMO ENTITY 5227	64993					161020160006	10640	STOCKHOLM	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1			1	FISKARBACKEN 12	1	71	DEMO ENTITY 4737	64993					161020160014	13150	SALTSJÖ-DUVNÄS	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1			9	BOX 2022	1	71	DEMO ENTITY 4486	64993					161020160071	10311	STOCKHOLM	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1			9	BOX 2022	1	71	DEMO ENTITY 7478	64993					161020160089	10311	STOCKHOLM	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1			9	BOX 2022	1	71	DEMO ENTITY 5558	64993					161020160097	10311	STOCKHOLM	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1			9	BOX 2022	1	71	DEMO ENTITY 0333	64993					161020160105	10311	STOCKHOLM	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1			9	BOX 2022	1	71	DEMO ENTITY 0024	64993					161020160121	10311	STOCKHOLM	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1			9	BOX 2022	1	71	DEMO ENTITY 2696	64993					161020160162	10311	STOCKHOLM	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1			9	BOX 2022	1	71	DEMO ENTITY 7215	64993					161020160170	10311	STOCKHOLM	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1			9	BOX 6313	1	71	DEMO ENTITY 5080	64993					161020160212	10235	STOCKHOLM	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1	DEMO PERSON 7667		9	THORSVI GÅRD	1	71	DEMO ENTITY 2268	64993					161020160220	74599	ENKÖPING	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1			9	BOX 2022	1	71	DEMO ENTITY 5085	64993					161020160261	10311	STOCKHOLM	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1			0	BAROMETERGATAN 30	1	71	DEMO ENTITY 8577	64993					161020160279	21117	MALMÖ	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1			0	SKJÖLDS STIP.FOND BOX 2022	1	71	DEMO ENTITY 9932	64993					161020160287	10311	STOCKHOLM	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1	DEMO PERSON 8548		9	BOX 2022	1	71	DEMO ENTITY 5210	64993					161020160295	10311	STOCKHOLM	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1	DEMO PERSON 7460		0	LIMAVÄGEN 6	1	71	DEMO ENTITY 5604	64993					161020160303	19271	SOLLENTUNA	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1			9	BOX 2022	1	71	DEMO ENTITY 0705	64993					161020160402	10311	STOCKHOLM	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1			0		1	71	DEMO ENTITY 2026	66120					161020160410	11536	STOCKHOLM	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1	DEMO PERSON 2184		1	STORGATAN 8	1	72	DEMO ENTITY 7737	64993					161020160436	11451	STOCKHOLM	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1	DEMO PERSON 4143		1	GÖH 420	1	71	DEMO ENTITY 1941	68201					161020160444	40504	GÖTEBORG	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1	DEMO PERSON 6202		0	MÅRDVÄGEN 29	1	71	DEMO ENTITY 5959	64993					161020160550	16756	BROMMA	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1			9	BOX 2022	1	71	DEMO ENTITY 6331	64993					161020160568	10311	STOCKHOLM	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1	DEMO PERSON 1187		1	VÄRTAVÄGEN 23	1	71	DEMO ENTITY 4165	00000					161020160592	11553	STOCKHOLM	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1	DEMO PERSON 8656		1	T646	1	71	DEMO ENTITY 0471	64993					161020160626	40509	GÖTEBORG	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1	DEMO PERSON 8963		1	T646	1	71	DEMO ENTITY 6888	64993					161020160634	40509	GÖTEBORG	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1			0	BOX 2022	1	71	DEMO ENTITY 1439	64993					161020160642	10311	STOCKHOLM	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1	DEMO PERSON 6575		1		1	71	DEMO ENTITY 5045	64993					161020160667	10640	STOCKHOLM	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1			9	BOX 2022	1	71	DEMO ENTITY 2743	64993					161020160675	10311	STOCKHOLM	19840422	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1	DEMO PERSON 0421		1		1	71	DEMO ENTITY 8958	64309					161020160691	10670	STOCKHOLM	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1	DEMO PERSON 9373		1		1	71	DEMO ENTITY 0325	64993					161020160733	10640	STOCKHOLM	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1	DEMO PERSON 1486		0	KÄLLÄNGSVÄGEN 63  LGH 1002	1	71	DEMO ENTITY 6834	68201					161020160741	18144	LIDINGÖ	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1			9	BOX 2022	1	71	DEMO ENTITY 0036	64993					161020160758	10311	STOCKHOLM	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1	DEMO PERSON 5733		9	ÖNSKERINGSVÄGEN 29	1	71	DEMO ENTITY 1540	64993					161020160865	16763	BROMMA	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1			9	BOX 2022	1	72	DEMO ENTITY 1072	64993					161020160915	10311	STOCKHOLM	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1	DEMO PERSON 1647		9	BACKVÄGEN 2	1	71	DEMO ENTITY 5004	68201					161020161038	18275	STOCKSUND	19740101	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1	DEMO PERSON 7079		1		1	71	DEMO ENTITY 4376	64993					161020161079	10640	STOCKHOLM	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1			0	BOX 2022	1	72	DEMO ENTITY 6027	00000					161020161095	10311	STOCKHOLM	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1	DEMO PERSON 6185		1	KG 5	1	71	DEMO ENTITY 8007	64993					161020161103	10640	STOCKHOLM	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1	DEMO PERSON 3628		1		1	71	DEMO ENTITY 4245	64993					161020161129	10670	STOCKHOLM	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1	DEMO PERSON 8272		1		1	71	DEMO ENTITY 2773	64993					161020161145	10640	STOCKHOLM	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1			0	BOX 2022	1	71	DEMO ENTITY 1724	64993					161020161152	10311	STOCKHOLM	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1			9	BOX 2022	1	71	DEMO ENTITY 2118	64993					161020161160	10311	STOCKHOLM	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1			9	BOX 2022  RIDDARHUSET	1	71	DEMO ENTITY 8243	94990					161020161178	10311	STOCKHOLM	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1	DEMO PERSON 6383		9	VON POSTS VÄG 5	1	71	DEMO ENTITY 4172	64993					161020161186	44448	STENUNGSUND	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1	DEMO PERSON 1965		1	SEBSTIFTELSEFÖRVALTNING G 5	1	71	DEMO ENTITY 3039	64993					161020161228	10640	STOCKHOLM	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1	DEMO PERSON 3360		1	VALHALLAVÄGEN 172  LGH 1701	1	71	DEMO ENTITY 4439	68201					161020161236	11527	STOCKHOLM	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1			9	BOX 2022	1	71	DEMO ENTITY 5303	65300					161020161244	10311	STOCKHOLM	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1	DEMO PERSON 6660		1		1	71	DEMO ENTITY 9792	64993					161020161293	10640	STOCKHOLM	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1			9	BOX 2022	1	71	DEMO ENTITY 3685	64993					161020161319	10311	STOCKHOLM	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1			9	STORSVÄNG 37/ JOHNSSON	1	71	DEMO ENTITY 0541	64993					161020161343	12941	HÄGERSTEN	19740101	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1	DEMO PERSON 5582		1	KG5	1	71	DEMO ENTITY 9683	00000					161020161376	10640	STOCKHOLM	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1	DEMO PERSON 5173		1	BÄCKVÄGEN 11 B	1	71	DEMO ENTITY 2692	64993					161020161434	19254	SOLLENTUNA	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1			9	BOX 2022  RIDDARHUSET	1	71	DEMO ENTITY 5015	64993					161020161467	10311	STOCKHOLM	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1			9	BOX 2022	1	71	DEMO ENTITY 5730	64993					161020161475	10311	STOCKHOLM	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1			9	BOX 2022	1	71	DEMO ENTITY 7510	64993					161020161483	10311	STOCKHOLM	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1			0	INGEMARSGATAN 5  2TR LGH 1205	1	72	DEMO ENTITY 8681	64993					161020161509	11354	STOCKHOLM	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1			9	BOX 2022	1	71	DEMO ENTITY 7156	64993					161020161517	10311	STOCKHOLM	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1	DEMO PERSON 2628		1	ALVIKSVÄGEN 90	1	71	DEMO ENTITY 1134	64993					161020161533	16753	BROMMA	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1			9	BOX 2022	1	71	DEMO ENTITY 1252	64993					161020161541	10311	STOCKHOLM	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1	DEMO PERSON 2383		0		1	71	DEMO ENTITY 9498	64993					161020161582	10640	STOCKHOLM	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1			9	BOX 2022	1	71	DEMO ENTITY 4641	64993					161020161590	10311	STOCKHOLM	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1			0	BOX 2094	1	71	DEMO ENTITY 1991	64993					161020161608	10313	STOCKHOLM	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1	DEMO PERSON 9231		0	BOX 2022	1	71	DEMO ENTITY 8092	64993					161020161632	10311	STOCKHOLM	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1			9	BOX 2022	1	71	DEMO ENTITY 4940	64993					161020161640	10311	STOCKHOLM	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1	DEMO PERSON 1617		0	CARDELLGATAN 1	1	71	DEMO ENTITY 8429	64993					161020161699	11436	STOCKHOLM	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1	DEMO PERSON 8455		1		1	71	DEMO ENTITY 9125	64993					161020161707	10670	STOCKHOLM	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1			0	BOX 2022  RIDDARHUSET	1	71	DEMO ENTITY 0161	64993					161020161756	10311	STOCKHOLM	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1	DEMO PERSON 4913		1		1	71	DEMO ENTITY 4968	64309					161020161806	10640	STOCKHOLM	19750702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
